Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
S08_AgeingReport_T001a_Login_Landing,1,697,697,697,697,697,697,697,0.000%,1.43472,3.82,0.65
S07_Administrator_T001a_Login_Landing,1,703,703,703,703,703,703,703,0.000%,1.42248,3.77,0.65
S04_Person_T001a_Login_Landing,1,705,705,705,705,705,705,705,0.000%,1.41844,3.77,0.65
S06_Company_T001a_Login_Landing,1,708,708,708,708,708,708,708,0.000%,1.41243,3.75,0.64
S03_Drugs_T001a_Login_Landing,1,712,712,712,712,712,712,712,0.000%,1.40449,3.73,0.64
S09_ComplexSearch_T001a_Login_Landing,1,706,706,706,706,706,706,706,0.000%,1.41643,3.76,0.64
S02_AncillaryData_T001a_Login_Landing,1,699,699,699,699,699,699,699,0.000%,1.43062,3.79,0.65
S05_Organization_T001a_Login_Landing,1,700,700,700,700,700,700,700,0.000%,1.42857,3.79,0.65
S01_ClinicalTrials_T001a_Login_Landing,1,699,699,699,699,699,699,699,0.000%,1.43062,3.80,0.65
S07_Administrator_T001b_Login_discovery_instance,1,719,719,719,719,719,719,719,0.000%,1.39082,2.84,0.81
S05_Organization_T001b_Login_discovery_instance,1,717,717,717,717,717,717,717,0.000%,1.39470,2.85,0.81
S08_AgeingReport_T001b_Login_discovery_instance,1,741,741,741,741,741,741,741,0.000%,1.34953,2.76,0.78
S09_ComplexSearch_T001b_Login_discovery_instance,1,758,758,758,758,758,758,758,0.000%,1.31926,2.70,0.77
S06_Company_T001b_Login_discovery_instance,1,766,766,766,766,766,766,766,0.000%,1.30548,2.67,0.76
S02_AncillaryData_T001b_Login_discovery_instance,1,769,769,769,769,769,769,769,0.000%,1.30039,2.66,0.76
S01_ClinicalTrials_T001b_Login_discovery_instance,1,769,769,769,769,769,769,769,0.000%,1.30039,2.66,0.76
S04_Person_T001b_Login_discovery_instance,1,770,770,770,770,770,770,770,0.000%,1.29870,2.65,0.75
S03_Drugs_T001b_Login_discovery_instance,1,789,789,789,789,789,789,789,0.000%,1.26743,2.59,0.74
S05_Organization_T001c_Login_openid_configuration,1,302,302,302,302,302,302,302,0.000%,3.31126,8.30,2.59
S09_ComplexSearch_T001c_Login_openid_configuration,1,264,264,264,264,264,264,264,0.000%,3.78788,9.49,2.96
S01_ClinicalTrials_T001c_Login_openid_configuration,1,263,263,263,263,263,263,263,0.000%,3.80228,9.53,2.97
S06_Company_T001c_Login_openid_configuration,1,266,266,266,266,266,266,266,0.000%,3.75940,9.42,2.94
S02_AncillaryData_T001c_Login_openid_configuration,1,269,269,269,269,269,269,269,0.000%,3.71747,9.32,2.91
S08_AgeingReport_T001c_Login_openid_configuration,1,325,325,325,325,325,325,325,0.000%,3.07692,7.71,2.41
S04_Person_T001c_Login_openid_configuration,1,329,329,329,329,329,329,329,0.000%,3.03951,7.62,2.38
S07_Administrator_T001c_Login_openid_configuration,1,653,653,653,653,653,653,653,0.000%,1.53139,3.84,1.20
S06_Company_T001d_Login_authorize_1,1,507,507,507,507,507,507,507,0.000%,1.97239,98.45,2.74
S09_ComplexSearch_T001d_Login_authorize_1,1,532,532,532,532,532,532,532,0.000%,1.87970,93.78,2.61
S04_Person_T001d_Login_authorize_1,1,476,476,476,476,476,476,476,0.000%,2.10084,104.83,2.92
S03_Drugs_T001c_Login_openid_configuration,1,809,809,809,809,809,809,809,0.000%,1.23609,3.10,0.97
S08_AgeingReport_T001d_Login_authorize_1,1,605,605,605,605,605,605,605,0.000%,1.65289,82.47,2.30
S05_Organization_T001d_Login_authorize_1,1,649,649,649,649,649,649,649,0.000%,1.54083,76.94,2.14
S02_AncillaryData_T001d_Login_authorize_1,1,667,667,667,667,667,667,667,0.000%,1.49925,74.81,2.08
S04_Person_T001e_Login_GetCredentialType,1,413,413,413,413,413,413,413,0.000%,2.42131,5.00,8.98
